model,dataset,seed,n_train,n_test,n_features,fit_time_sec,predict_time_sec,total_time_sec,tuning_time_sec,total_wall_time_sec,throughput_rows_per_sec,ms_per_test_row,peak_memory_mb,memory_delta_mb,gpu_memory_mb,error,roc_auc,avg_precision,f1_macro,brier_score,log_loss_val,sensitivity,specificity,ppv,ece_10,ece_15,max_calibration_error,pr_auc,optimal_threshold,optimal_tpr,optimal_fpr,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,balanced_accuracy,matthews_corrcoef,demographic_parity,tpr_overall,fpr_overall,f1_weighted,accuracy
MLP,titanic,1,1047,262,13,8.00047177200031,0.0029367660026764,8.003408538002986,7.71891990199947,15.722328440002457,89213.75095852817,0.0112090305445666,2740.94921875,0.0,210.93603515625,,0.9849382716049382,0.9813582041907256,0.9516634893302997,0.0430769883096218,0.1657451093196869,0.95,0.9567901234567902,0.931372549019608,0.0393651949227538,0.0442047841413273,0.3524872660636902,0.9812830392594042,0.0493827160493827,0.96,0.0493827160493827,0.96875,0.931372549019608,0.9567901234567902,0.95,0.9627329192546584,0.9405940594059404,0.953395061728395,0.9034501853183332,0.3893129770992366,0.95,0.0432098765432098,0.9542829727475142,0.9541984732824428
SAP-RPT-1,titanic,1,1047,262,13,3.256701386999339,0.5614279490000627,3.8181293359994015,0.0,3.8181293359994015,466.6671832066265,2.142854767175812,2755.0859375,14.13671875,595.490234375,,0.9890432098765432,0.9879611216034366,0.959245893479343,0.0301493629813194,0.1168162822723388,0.93,0.9814814814814816,0.96875,0.0152077443990145,0.0227262156940854,0.6178585588932037,0.9879429502603766,0.0432098765432098,0.98,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
TabPFN,titanic,2,1047,262,13,0.6564175839994277,0.7161314270015282,1.372549011000956,0.0,1.372549011000956,365.854631923012,2.7333260572577416,2641.984375,0.0,210.93603515625,,0.9926234567901234,0.9881964232660746,0.959245893479343,0.0328342206776142,0.1331106573343277,0.93,0.9814814814814816,0.96875,0.0224753780048767,0.0259680422556138,0.3382061570882797,0.9881662742166494,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
XGBoost,titanic,2,1047,262,13,5.091121404002479,0.0030205709990696,5.094141975001548,5.046982372001367,10.141124347002917,86738.5382903308,0.0115288969430137,2641.984375,0.0,210.93603515625,,0.9825617283950616,0.9818353317889198,0.959245893479343,0.0320108644664287,0.1282923966646194,0.93,0.9814814814814816,0.96875,0.0213424241639503,0.0205133979471812,0.2687755823135376,0.9823644971535976,0.0308641975308641,0.97,0.0308641975308641,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
LightGBM,titanic,2,1047,262,13,5.842601660999208,0.0020620409995899,5.8446637019987975,5.775517039000988,11.620180740999784,127058.51774701964,0.0078703854946181,2641.984375,0.0,210.93603515625,,0.9887345679012346,0.988456537337067,0.959245893479343,0.033758277366461,0.1544811391090708,0.93,0.9814814814814816,0.96875,0.0733516692370325,0.0747239386218895,0.3394831101817951,0.9884446559565088,0.0432098765432098,0.98,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
CatBoost,titanic,2,1047,262,13,124.65609692100044,0.001799812001991,124.65789673300242,122.83492930200008,247.4928260350025,145570.6785705828,0.0068695114579812,2642.68359375,0.69921875,210.93603515625,,0.9853703703703705,0.9839411627567876,0.959245893479343,0.0313919530356217,0.1216785335129538,0.93,0.9814814814814816,0.96875,0.0128885482549636,0.020357516045698,0.2600787881392423,0.9839095682078032,0.037037037037037,0.96,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
MLP,titanic,2,1047,262,13,7.629556946001685,0.0030589759990107,7.632615922000696,7.36595036899962,14.998566291000316,85649.54888014222,0.0116754809122546,2642.68359375,0.0,210.93603515625,,0.9737037037037036,0.973781283425231,0.934520462355514,0.0440229885280132,0.1600077897310257,0.89,0.9691358024691358,0.946808510638298,0.0342182353963606,0.0359296434068384,0.718352735042572,0.973693262085465,0.0432098765432098,0.95,0.0432098765432098,0.9345238095238096,0.946808510638298,0.9691358024691358,0.89,0.9515151515151516,0.9175257731958762,0.929567901234568,0.8701632893454293,0.3587786259541984,0.89,0.0308641975308641,0.9385421063551228,0.9389312977099236
SAP-RPT-1,titanic,2,1047,262,13,3.675579155999003,0.5588261650009372,4.23440532099994,0.0,4.23440532099994,468.83989322640383,2.132924293896707,2757.26953125,114.5859375,595.490234375,,0.9890432098765432,0.9879611216034366,0.959245893479343,0.0301493629813194,0.1168162822723388,0.93,0.9814814814814816,0.96875,0.0152077443990145,0.0227262156940854,0.6178585588932037,0.9879429502603766,0.0432098765432098,0.98,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
TabPFN,titanic,3,1047,262,13,0.6602541960019153,0.7581010130015784,1.4183552090034937,0.0,1.4183552090034937,345.6003819557673,2.8935153167999177,2642.51953125,0.0,210.93603515625,,0.9926234567901234,0.9881964232660746,0.959245893479343,0.0328342206776142,0.1331106573343277,0.93,0.9814814814814816,0.96875,0.0224753780048767,0.0259680422556138,0.3382061570882797,0.9881662742166494,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
XGBoost,titanic,3,1047,262,13,5.940974213001027,0.0032292970026901,5.944203510003717,5.8679021680000005,11.812105678003718,81132.18407893684,0.01232556107897,2642.51953125,0.0,210.93603515625,,0.9838580246913582,0.9829861738654888,0.959245893479343,0.0306481886655092,0.1230042725801467,0.93,0.9814814814814816,0.96875,0.0136527469353252,0.0173218397508936,0.6212644875049591,0.982971264242789,0.0185185185185185,0.95,0.0185185185185185,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
LightGBM,titanic,3,1047,262,13,9.523999305998586,0.0022651990002486,9.526264504998837,9.427513119997457,18.95377762499629,115663.07609537184,0.0086457977108728,2642.51953125,0.0,210.93603515625,,0.9902777777777778,0.9885764487270609,0.959245893479343,0.0310029581367067,0.1317041109261991,0.93,0.9814814814814816,0.96875,0.0436991621434189,0.0505841990739471,0.3474688667083964,0.9885646303309286,0.0432098765432098,0.97,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
CatBoost,titanic,3,1047,262,13,122.3080015409978,0.001854883001215,122.309856423999,120.46492374300216,242.77478016700115,141248.72489512805,0.0070797061115078,2641.6328125,-0.88671875,210.93603515625,,0.986574074074074,0.9842397759842906,0.959245893479343,0.0317732347899943,0.1217269887659605,0.93,0.9814814814814816,0.96875,0.0168744484744563,0.0159686367340253,0.2156987680383676,0.984199307594388,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
MLP,titanic,3,1047,262,13,7.914360981001664,0.0033738019992597,7.917734783000924,7.6743722229985,15.592107005999424,77657.17205701889,0.0128771068674035,2641.6328125,0.0,210.93603515625,,0.980895061728395,0.9786953623892202,0.940108809948338,0.0532622374594211,0.1909814924001693,0.96,0.9320987654320988,0.897196261682243,0.0737886567038434,0.0743384577390801,0.5841677784919739,0.9786348175782896,0.0308641975308641,0.94,0.0308641975308641,0.9741935483870968,0.897196261682243,0.9320987654320988,0.96,0.9526813880126184,0.927536231884058,0.9460493827160494,0.8816834884316306,0.4083969465648855,0.96,0.0679012345679012,0.94308400017729,0.9427480916030534
SAP-RPT-1,titanic,3,1047,262,13,3.374214183000732,0.5683538949997455,3.942568078000477,0.0,3.942568078000477,460.9803888810104,2.169289675571548,2769.7109375,128.078125,595.490234375,,0.9890432098765432,0.9879611216034366,0.959245893479343,0.0301493629813194,0.1168162822723388,0.93,0.9814814814814816,0.96875,0.0152077443990145,0.0227262156940854,0.6178585588932037,0.9879429502603766,0.0432098765432098,0.98,0.0432098765432098,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
TabPFN,titanic,4,1047,262,13,0.662230541001918,0.7385323560010875,1.4007628970030055,0.0,1.4007628970030055,354.7576453709993,2.8188257862636927,2641.4609375,0.0,210.93603515625,,0.9926234567901234,0.9881964232660746,0.959245893479343,0.0328342206776142,0.1331106573343277,0.93,0.9814814814814816,0.96875,0.0224753780048767,0.0259680422556138,0.3382061570882797,0.9881662742166494,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
XGBoost,titanic,4,1047,262,13,5.737448956999288,0.0033590940001886,5.740808050999476,5.635262173000228,11.376070223999704,77997.19864585166,0.0128209694663688,2641.4609375,0.0,210.93603515625,,0.9837962962962964,0.983813732637113,0.959245893479343,0.0314936302602291,0.1319797933101654,0.93,0.9814814814814816,0.96875,0.0310045968143994,0.0444771107854961,0.4811033308506012,0.9842179835343944,0.0246913580246913,0.95,0.0246913580246913,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
LightGBM,titanic,4,1047,262,13,4.902763548998337,0.0020043559998157,4.9047679049981525,4.857511034999334,9.762278939997486,130715.2368685245,0.0076502137397547,2641.4609375,0.0,210.93603515625,,0.9874382716049382,0.9873940822800604,0.959245893479343,0.0415811105175764,0.1964230095347035,0.93,0.9814814814814816,0.96875,0.1054707197674976,0.1078084147749636,0.2082910688389184,0.9874130787305196,0.037037037037037,0.97,0.037037037037037,0.9578313253012049,0.96875,0.9814814814814816,0.93,0.9695121951219512,0.9489795918367347,0.9557407407407408,0.9190003912396428,0.366412213740458,0.93,0.0185185185185185,0.9616753236390444,0.9618320610687024
